1595969143.280019,2020-07-29 02:15:43.279, Received on USB0: , 0x87
1595969144.31117,2020-07-29 02:15:44.311, Received on USB0: , 0x87
1595969145.342378,2020-07-29 02:15:45.342, Received on USB0: , 0x87
1595969146.373176,2020-07-29 02:15:46.373, Received on USB0: , 0x87
1595969147.404759,2020-07-29 02:15:47.404, Received on USB0: , 0x87
1595969148.436315,2020-07-29 02:15:48.436, Received on USB0: , 0x87
1595969149.467597,2020-07-29 02:15:49.467, Received on USB0: , 0x86
1595969150.500365,2020-07-29 02:15:50.500, Received on USB0: , 0x86
1595969151.531924,2020-07-29 02:15:51.531, Received on USB0: , 0x87
1595969152.565755,2020-07-29 02:15:52.565, Received on USB0: , 0x87
1595969153.596293,2020-07-29 02:15:53.596, Received on USB0: , 0x87
1595969154.62771,2020-07-29 02:15:54.627, Received on USB0: , 0x87
1595969155.658466,2020-07-29 02:15:55.658, Received on USB0: , 0x87
1595969156.690021,2020-07-29 02:15:56.689, Received on USB0: , 0x87
1595969157.721197,2020-07-29 02:15:57.720, Received on USB0: , 0x87
1595969158.754455,2020-07-29 02:15:58.754, Received on USB0: , 0x87
1595969159.785916,2020-07-29 02:15:59.785, Received on USB0: , 0x87
1595969160.816868,2020-07-29 02:16:00.816, Received on USB0: , 0x87
1595969161.848331,2020-07-29 02:16:01.848, Received on USB0: , 0x87
1595969162.881279,2020-07-29 02:16:02.881, Received on USB0: , 0x87
1595969163.914896,2020-07-29 02:16:03.914, Received on USB0: , 0x87
1595969164.948054,2020-07-29 02:16:04.947, Received on USB0: , 0x87
1595969165.981169,2020-07-29 02:16:05.980, Received on USB0: , 0x87
1595969167.013978,2020-07-29 02:16:07.013, Received on USB0: , 0x87
1595969168.045182,2020-07-29 02:16:08.045, Received on USB0: , 0x87
1595969169.078481,2020-07-29 02:16:09.078, Received on USB0: , 0x87
1595969170.112538,2020-07-29 02:16:10.112, Received on USB0: , 0x87
1595969171.143865,2020-07-29 02:16:11.143, Received on USB0: , 0x87
1595969172.222443,2020-07-29 02:16:12.222, Received on USB0: , 0x87
1595969173.445715,2020-07-29 02:16:13.445, Received on USB0: , 0x87
1595969174.476656,2020-07-29 02:16:14.476, Received on USB0: , 0x86
1595969175.512392,2020-07-29 02:16:15.512, Received on USB0: , 0x86
1595969176.54349,2020-07-29 02:16:16.543, Received on USB0: , 0x87
1595969177.574241,2020-07-29 02:16:17.573, Received on USB0: , 0x87
1595969178.605268,2020-07-29 02:16:18.605, Received on USB0: , 0x87
1595969179.637068,2020-07-29 02:16:19.636, Received on USB0: , 0x87
1595969180.668087,2020-07-29 02:16:20.667, Received on USB0: , 0x87
1595969181.699306,2020-07-29 02:16:21.699, Received on USB0: , 0x87
1595969182.730597,2020-07-29 02:16:22.730, Received on USB0: , 0x86
1595969183.76177,2020-07-29 02:16:23.761, Received on USB0: , 0x87
1595969184.793233,2020-07-29 02:16:24.792, Received on USB0: , 0x86
1595969185.823868,2020-07-29 02:16:25.823, Received on USB0: , 0x87
1595969186.857109,2020-07-29 02:16:26.856, Received on USB0: , 0x87
1595969187.888868,2020-07-29 02:16:27.888, Received on USB0: , 0x87
1595969188.919733,2020-07-29 02:16:28.919, Received on USB0: , 0x87
1595969189.953153,2020-07-29 02:16:29.952, Received on USB0: , 0x87
1595969190.984327,2020-07-29 02:16:30.984, Received on USB0: , 0x87
1595969192.017506,2020-07-29 02:16:32.017, Received on USB0: , 0x87
1595969193.051014,2020-07-29 02:16:33.050, Received on USB0: , 0x87
1595969194.082103,2020-07-29 02:16:34.081, Received on USB0: , 0x87
1595969195.115743,2020-07-29 02:16:35.115, Received on USB0: , 0x87
1595969196.14856,2020-07-29 02:16:36.148, Received on USB0: , 0x87
1595969197.17921,2020-07-29 02:16:37.179, Received on USB0: , 0x87
1595969198.211282,2020-07-29 02:16:38.211, Received on USB0: , 0x87
1595969199.244413,2020-07-29 02:16:39.244, Received on USB0: , 0x87
1595969200.275414,2020-07-29 02:16:40.275, Received on USB0: , 0x87
1595969201.306722,2020-07-29 02:16:41.306, Received on USB0: , 0x87
1595969202.340233,2020-07-29 02:16:42.340, Received on USB0: , 0x87
1595969203.371419,2020-07-29 02:16:43.371, Received on USB0: , 0x87
1595969204.614999,2020-07-29 02:16:44.614, Received on USB0: , 0x87
1595969205.88993,2020-07-29 02:16:45.889, Received on USB0: , 0x87
1595969206.921078,2020-07-29 02:16:46.920, Received on USB0: , 0x87
1595969207.952743,2020-07-29 02:16:47.952, Received on USB0: , 0x87
1595969208.983772,2020-07-29 02:16:48.983, Received on USB0: , 0x87
1595969210.014856,2020-07-29 02:16:50.014, Received on USB0: , 0x87
1595969211.04578,2020-07-29 02:16:51.045, Received on USB0: , 0x87
1595969212.076517,2020-07-29 02:16:52.076, Received on USB0: , 0x87
1595969213.10836,2020-07-29 02:16:53.108, Received on USB0: , 0x87
1595969214.139066,2020-07-29 02:16:54.139, Received on USB0: , 0x87
1595969215.170285,2020-07-29 02:16:55.170, Received on USB0: , 0x87
1595969216.203819,2020-07-29 02:16:56.203, Received on USB0: , 0x87
1595969217.237322,2020-07-29 02:16:57.237, Received on USB0: , 0x87
1595969218.270659,2020-07-29 02:16:58.270, Received on USB0: , 0x87
1595969219.301943,2020-07-29 02:16:59.301, Received on USB0: , 0x87
1595969220.335093,2020-07-29 02:17:00.335, Received on USB0: , 0x87
1595969221.366259,2020-07-29 02:17:01.366, Received on USB0: , 0x87
1595969222.399562,2020-07-29 02:17:02.399, Received on USB0: , 0x87
1595969223.430963,2020-07-29 02:17:03.430, Received on USB0: , 0x87
1595969224.461876,2020-07-29 02:17:04.461, Received on USB0: , 0x87
1595969225.495331,2020-07-29 02:17:05.495, Received on USB0: , 0x87
1595969226.528163,2020-07-29 02:17:06.528, Received on USB0: , 0x87
