1595969132.563647,2020-07-29 02:15:32.563, Received on USB1: , 0x81
1595969133.594735,2020-07-29 02:15:33.594, Received on USB1: , 0x81
1595969134.626,2020-07-29 02:15:34.625, Received on USB1: , 0x81
1595969135.657354,2020-07-29 02:15:35.657, Received on USB1: , 0x81
1595969136.688438,2020-07-29 02:15:36.688, Received on USB1: , 0x81
1595969137.719419,2020-07-29 02:15:37.719, Received on USB1: , 0x81
1595969138.750783,2020-07-29 02:15:38.750, Received on USB1: , 0x81
1595969139.782166,2020-07-29 02:15:39.781, Received on USB1: , 0x81
1595969140.973877,2020-07-29 02:15:40.973, Received on USB1: , 0x81
1595969142.246371,2020-07-29 02:15:42.246, Received on USB1: , 0x81
1595969143.277905,2020-07-29 02:15:43.277, Received on USB1: , 0x81
1595969144.308895,2020-07-29 02:15:44.308, Received on USB1: , 0x81
1595969145.340058,2020-07-29 02:15:45.339, Received on USB1: , 0x81
1595969146.370948,2020-07-29 02:15:46.370, Received on USB1: , 0x81
1595969147.40242,2020-07-29 02:15:47.402, Received on USB1: , 0x81
1595969148.433742,2020-07-29 02:15:48.433, Received on USB1: , 0x81
1595969149.465009,2020-07-29 02:15:49.464, Received on USB1: , 0x81
1595969150.497904,2020-07-29 02:15:50.497, Received on USB1: , 0x81
1595969151.529474,2020-07-29 02:15:51.529, Received on USB1: , 0x81
1595969152.563055,2020-07-29 02:15:52.562, Received on USB1: , 0x81
1595969153.594003,2020-07-29 02:15:53.593, Received on USB1: , 0x81
1595969154.625248,2020-07-29 02:15:54.625, Received on USB1: , 0x81
1595969155.656127,2020-07-29 02:15:55.655, Received on USB1: , 0x81
1595969156.687356,2020-07-29 02:15:56.687, Received on USB1: , 0x81
1595969157.718763,2020-07-29 02:15:57.718, Received on USB1: , 0x81
1595969158.752161,2020-07-29 02:15:58.751, Received on USB1: , 0x81
1595969159.783355,2020-07-29 02:15:59.783, Received on USB1: , 0x81
1595969160.814635,2020-07-29 02:16:00.814, Received on USB1: , 0x81
1595969161.845798,2020-07-29 02:16:01.845, Received on USB1: , 0x81
1595969162.879005,2020-07-29 02:16:02.878, Received on USB1: , 0x81
1595969163.912508,2020-07-29 02:16:03.912, Received on USB1: , 0x81
1595969164.945587,2020-07-29 02:16:04.945, Received on USB1: , 0x81
1595969165.978597,2020-07-29 02:16:05.978, Received on USB1: , 0x81
1595969167.01189,2020-07-29 02:16:07.011, Received on USB1: , 0x81
1595969168.042985,2020-07-29 02:16:08.042, Received on USB1: , 0x81
1595969169.076212,2020-07-29 02:16:09.076, Received on USB1: , 0x81
1595969170.110024,2020-07-29 02:16:10.109, Received on USB1: , 0x81
1595969171.141103,2020-07-29 02:16:11.141, Received on USB1: , 0x81
1595969172.219941,2020-07-29 02:16:12.219, Received on USB1: , 0x81
1595969173.443165,2020-07-29 02:16:13.442, Received on USB1: , 0x81
1595969174.474317,2020-07-29 02:16:14.474, Received on USB1: , 0x81
1595969175.510045,2020-07-29 02:16:15.509, Received on USB1: , 0x81
1595969176.541015,2020-07-29 02:16:16.540, Received on USB1: , 0x81
1595969177.571855,2020-07-29 02:16:17.571, Received on USB1: , 0x81
1595969178.602889,2020-07-29 02:16:18.602, Received on USB1: , 0x81
1595969179.634592,2020-07-29 02:16:19.634, Received on USB1: , 0x81
1595969180.665885,2020-07-29 02:16:20.665, Received on USB1: , 0x81
1595969181.697007,2020-07-29 02:16:21.696, Received on USB1: , 0x81
1595969182.72831,2020-07-29 02:16:22.728, Received on USB1: , 0x81
1595969183.759389,2020-07-29 02:16:23.759, Received on USB1: , 0x81
1595969184.790932,2020-07-29 02:16:24.790, Received on USB1: , 0x81
1595969185.821586,2020-07-29 02:16:25.821, Received on USB1: , 0x81
1595969186.854849,2020-07-29 02:16:26.854, Received on USB1: , 0x81
1595969187.886274,2020-07-29 02:16:27.886, Received on USB1: , 0x81
1595969188.917528,2020-07-29 02:16:28.917, Received on USB1: , 0x81
1595969189.950869,2020-07-29 02:16:29.950, Received on USB1: , 0x81
1595969190.982091,2020-07-29 02:16:30.981, Received on USB1: , 0x81
1595969192.014925,2020-07-29 02:16:32.014, Received on USB1: , 0x81
1595969193.048638,2020-07-29 02:16:33.048, Received on USB1: , 0x81
1595969194.079874,2020-07-29 02:16:34.079, Received on USB1: , 0x81
1595969195.11313,2020-07-29 02:16:35.112, Received on USB1: , 0x81
1595969196.146259,2020-07-29 02:16:36.146, Received on USB1: , 0x81
1595969197.176991,2020-07-29 02:16:37.176, Received on USB1: , 0x81
1595969198.208708,2020-07-29 02:16:38.208, Received on USB1: , 0x81
1595969199.242011,2020-07-29 02:16:39.241, Received on USB1: , 0x81
1595969200.273085,2020-07-29 02:16:40.272, Received on USB1: , 0x81
1595969201.304533,2020-07-29 02:16:41.304, Received on USB1: , 0x81
1595969202.337778,2020-07-29 02:16:42.337, Received on USB1: , 0x81
1595969203.36905,2020-07-29 02:16:43.368, Received on USB1: , 0x81
1595969204.61268,2020-07-29 02:16:44.612, Received on USB1: , 0x81
1595969205.887592,2020-07-29 02:16:45.887, Received on USB1: , 0x81
1595969206.918794,2020-07-29 02:16:46.918, Received on USB1: , 0x81
1595969207.95021,2020-07-29 02:16:47.949, Received on USB1: , 0x81
1595969208.981299,2020-07-29 02:16:48.981, Received on USB1: , 0x81
1595969210.012183,2020-07-29 02:16:50.012, Received on USB1: , 0x81
1595969211.043487,2020-07-29 02:16:51.043, Received on USB1: , 0x81
1595969212.074272,2020-07-29 02:16:52.074, Received on USB1: , 0x81
1595969213.1061,2020-07-29 02:16:53.105, Received on USB1: , 0x81
1595969214.136876,2020-07-29 02:16:54.136, Received on USB1: , 0x81
1595969215.168066,2020-07-29 02:16:55.167, Received on USB1: , 0x81
1595969216.201361,2020-07-29 02:16:56.201, Received on USB1: , 0x81
1595969217.234737,2020-07-29 02:16:57.234, Received on USB1: , 0x81
1595969218.268247,2020-07-29 02:16:58.268, Received on USB1: , 0x81
1595969219.29943,2020-07-29 02:16:59.299, Received on USB1: , 0x81
1595969220.332506,2020-07-29 02:17:00.332, Received on USB1: , 0x81
1595969221.363792,2020-07-29 02:17:01.363, Received on USB1: , 0x81
1595969222.3972,2020-07-29 02:17:02.396, Received on USB1: , 0x81
1595969223.428598,2020-07-29 02:17:03.428, Received on USB1: , 0x81
1595969224.459675,2020-07-29 02:17:04.459, Received on USB1: , 0x81
1595969225.49305,2020-07-29 02:17:05.492, Received on USB1: , 0x81
1595969226.525972,2020-07-29 02:17:06.525, Received on USB1: , 0x81
1595969227.557519,2020-07-29 02:17:07.557, Received on USB1: , 0x81
1595969228.588871,2020-07-29 02:17:08.588, Received on USB1: , 0x81
1595969229.620056,2020-07-29 02:17:09.619, Received on USB1: , 0x81
1595969230.650948,2020-07-29 02:17:10.650, Received on USB1: , 0x81
